image,id,name,xMin,xMax,yMin,yMax
batch_1/000006.jpg,1,Glassbottle,517.0,964.0,127.0,1449.0
batch_1/000008.jpg,2,Carton,1.0,1430.0,457.0,1976.0
batch_1/000008.jpg,3,Carton,531.0,1537.0,292.0,964.0
batch_1/000010.jpg,4,Plasticbottle,632.0,1132.0,987.0,1361.0
batch_1/000010.jpg,5,Plasticbottlecap,632.0,676.0,989.0,1040.0
batch_1/000019.jpg,6,Plasticbottle,209.0,663.0,920.0,1482.0
batch_1/000019.jpg,7,Plasticbottle,1212.0,1391.0,822.0,1268.0
batch_1/000019.jpg,8,Plasticbottlecap,634.0,663.0,1442.0,1481.0
batch_1/000019.jpg,9,Can,589.0,930.0,548.0,953.0
batch_1/000026.jpg,10,Can,556.0,1046.0,944.0,1280.0
batch_1/000047.jpg,11,Can,1205.0,1828.0,47.0,768.0
batch_1/000047.jpg,12,Can,309.0,890.0,11.0,831.0
batch_1/000047.jpg,13,Plasticbottle,189.0,1806.0,751.0,1340.0
batch_1/000047.jpg,14,Plasticbottlecap,189.0,394.0,903.0,1129.0
batch_1/000047.jpg,15,Poptab,569.0,796.0,137.0,245.0
batch_1/000047.jpg,16,Poptab,1540.0,1786.0,171.0,282.0
batch_1/000055.jpg,17,Can,515.0,872.0,439.0,1564.0
batch_1/000001.jpg,18,Plasticbottle,826.0,1290.0,744.0,949.0
batch_1/000001.jpg,19,Plasticbottlecap,1254.0,1290.0,777.0,824.0
batch_1/000005.jpg,20,Plasticbottle,824.0,913.0,557.0,793.0
batch_1/000007.jpg,21,Can,730.0,1005.0,126.0,735.0
batch_1/000007.jpg,22,Cup,804.0,1026.0,0.0,160.0
batch_1/000007.jpg,23,Poptab,781.0,866.0,125.0,182.0
batch_1/000012.jpg,24,Glassbottle,379.0,804.0,1127.0,1445.0
batch_1/000012.jpg,25,Wrapper,904.0,941.0,1083.0,1109.0
batch_1/000014.jpg,26,Styrofoampiece,1072.0,1196.0,983.0,1130.0
batch_1/000014.jpg,27,Styrofoampiece,914.0,1157.0,1308.0,1495.0
batch_1/000014.jpg,28,Can,672.0,891.0,1069.0,1230.0
batch_1/000014.jpg,29,Plasticfilm,401.0,674.0,1033.0,1306.0
batch_1/000014.jpg,30,Carton,836.0,1175.0,1010.0,1217.0
batch_1/000014.jpg,31,Other,775.0,934.0,910.0,1009.0
batch_1/000048.jpg,32,Plasticbottle,1527.0,1942.0,460.0,1493.0
batch_1/000048.jpg,33,Plasticbottle,579.0,901.0,521.0,1442.0
batch_1/000048.jpg,34,Glassbottle,211.0,628.0,1.0,1418.0
batch_1/000048.jpg,35,Carton,1208.0,1577.0,611.0,1493.0
batch_1/000048.jpg,36,Carton,863.0,1216.0,608.0,1468.0
batch_1/000048.jpg,37,Plasticbottlecap,1677.0,1888.0,460.0,558.0
batch_1/000048.jpg,38,Plasticbottlecap,1325.0,1480.0,663.0,778.0
batch_1/000048.jpg,39,Plasticbottlecap,969.0,1115.0,636.0,760.0
batch_1/000048.jpg,40,Plasticbottlecap,610.0,795.0,521.0,618.0
batch_1/000048.jpg,41,Metalbottlecap,212.0,381.0,1.0,104.0
batch_1/000053.jpg,42,Plasticbottle,398.0,1532.0,410.0,1408.0
batch_1/000053.jpg,43,Plasticbottlecap,1336.0,1532.0,410.0,620.0
batch_1/000053.jpg,44,Plasticfilm,0.0,338.0,1.0,665.0
batch_1/000053.jpg,45,Plasticcontainer,0.0,487.0,369.0,688.0
batch_1/000056.jpg,46,Plasticbottle,419.0,1132.0,8.0,1862.0
batch_1/000058.jpg,47,Plasticbottle,150.0,718.0,328.0,1632.0
batch_1/000058.jpg,48,Plasticbottle,802.0,1349.0,405.0,1809.0
batch_1/000058.jpg,49,Plasticbottlecap,971.0,1267.0,405.0,596.0
batch_1/000060.jpg,50,Can,750.0,1152.0,244.0,1711.0
batch_1/000060.jpg,51,Paper,1205.0,1537.0,989.0,1591.0
batch_1/000003.jpg,52,Cup,714.0,948.0,1093.0,1330.0
batch_1/000011.jpg,53,Can,522.0,762.0,1168.0,1290.0
batch_1/000032.jpg,54,Can,503.0,948.0,808.0,1165.0
batch_1/000032.jpg,55,Poptab,510.0,588.0,953.0,1014.0
batch_1/000040.jpg,56,Can,285.0,757.0,402.0,1026.0
batch_1/000040.jpg,57,Can,1450.0,1964.0,379.0,991.0
batch_1/000040.jpg,58,Poptab,504.0,676.0,451.0,547.0
batch_1/000040.jpg,59,Poptab,1754.0,1938.0,479.0,563.0
batch_1/000043.jpg,60,Can,602.0,1467.0,290.0,1349.0
batch_1/000043.jpg,61,Poptab,923.0,1150.0,337.0,614.0
batch_1/000049.jpg,62,Can,399.0,882.0,502.0,1243.0
batch_1/000049.jpg,63,Poptab,451.0,609.0,572.0,645.0
batch_1/000054.jpg,64,Can,184.0,678.0,898.0,1752.0
batch_1/000054.jpg,65,Plasticbottle,605.0,984.0,259.0,1455.0
batch_1/000054.jpg,66,Plasticbottle,1051.0,1537.0,202.0,1280.0
batch_1/000054.jpg,67,Plasticbottlecap,1263.0,1536.0,202.0,504.0
batch_1/000061.jpg,68,Can,274.0,937.0,723.0,1569.0
batch_1/000021.jpg,69,Glassbottle,852.0,1539.0,638.0,929.0
batch_1/000021.jpg,70,Wrapper,256.0,934.0,705.0,1122.0
batch_1/000022.jpg,71,Glassbottle,647.0,1467.0,1033.0,1409.0
batch_1/000022.jpg,72,Wrapper,313.0,727.0,1400.0,1535.0
batch_1/000023.jpg,73,Plasticbottle,372.0,665.0,1441.0,1662.0
batch_1/000023.jpg,74,Can,1015.0,1205.0,979.0,1193.0
batch_1/000023.jpg,75,Can,904.0,1072.0,1493.0,1659.0
batch_1/000023.jpg,76,Can,683.0,904.0,1550.0,1653.0
batch_1/000023.jpg,77,Can,1043.0,1187.0,792.0,956.0
batch_1/000023.jpg,78,Poptab,1162.0,1180.0,1166.0,1193.0
batch_1/000023.jpg,79,Plasticbottlecap,371.0,402.0,1437.0,1486.0
batch_1/000024.jpg,80,Can,218.0,491.0,1457.0,1730.0
batch_1/000024.jpg,81,Can,634.0,861.0,860.0,1092.0
batch_1/000024.jpg,82,Plasticbottle,463.0,589.0,1112.0,1274.0
batch_1/000027.jpg,83,Can,668.0,1123.0,717.0,1372.0
batch_1/000028.jpg,84,Plasticcontainer,351.0,1261.0,460.0,1143.0
batch_1/000030.jpg,85,Can,604.0,791.0,1052.0,1372.0
batch_1/000031.jpg,86,Can,470.0,883.0,1040.0,1361.0
batch_1/000042.jpg,87,Can,664.0,903.0,619.0,889.0
batch_1/000042.jpg,88,Can,1179.0,1465.0,662.0,927.0
batch_1/000042.jpg,89,Poptab,753.0,834.0,722.0,835.0
batch_1/000042.jpg,90,Poptab,1318.0,1383.0,677.0,775.0
batch_1/000050.jpg,91,Can,642.0,1475.0,854.0,1658.0
batch_1/000050.jpg,92,Plasticfilm,124.0,516.0,735.0,1285.0
batch_1/000059.jpg,93,Can,656.0,975.0,705.0,1546.0
batch_1/000059.jpg,94,Paper,744.0,1536.0,551.0,1328.0
batch_1/000059.jpg,95,Paper,975.0,1536.0,221.0,547.0
batch_1/000059.jpg,96,Carton,1032.0,1060.0,281.0,427.0
batch_1/000000.jpg,97,Plasticbottle,710.0,863.0,1225.0,1423.0
batch_1/000013.jpg,98,Glassbottle,811.0,1010.0,1123.0,1473.0
batch_1/000015.jpg,99,Plasticfilm,1346.0,1537.0,1367.0,1659.0
batch_1/000015.jpg,100,Wrapper,828.0,1021.0,1058.0,1245.0
batch_1/000016.jpg,101,Glassbottle,593.0,1025.0,934.0,1172.0
batch_1/000017.jpg,102,Glassbottle,713.0,904.0,530.0,903.0
batch_1/000025.jpg,103,Can,323.0,810.0,1055.0,1407.0
